Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C Time
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B4 222.25 0.10 3.50 12.00 0.01 20170923104027
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B4 222.25 0.10 3.50 12.00 0.01 20170923104027
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B4 222.75 0.10 3.50 12.00 0.01 20170923104027
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B4 222.50 0.10 3.50 12.00 0.01 20170923104027
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B4 222.50 0.10 3.50 12.00 0.01 20170923104028
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B4 222.50 0.10 3.50 12.00 0.03 20170923104028
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B4 222.00 0.10 3.50 12.00 0.03 20170923104028
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B4 222.25 0.10 3.50 12.00 0.01 20170923104028
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B4 222.25 0.10 3.50 12.00 0.01 20170923104028
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B4 222.25 0.10 3.50 12.00 0.01 20170923104028
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B4 222.00 0.10 3.50 12.00 0.03 20170923104029
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B4 222.00 0.10 3.50 12.00 0.01 20170923104029
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B4 222.00 0.10 3.50 12.00 0.03 20170923104029
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B4 222.25 0.10 3.50 12.00 0.01 20170923104029
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B5 222.00 0.10 3.50 12.00 0.01 20170923104029
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B5 222.50 0.10 3.50 12.00 0.01 20170923104030
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B5 222.25 0.10 3.50 12.00 0.01 20170923104030
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B5 222.50 0.10 3.50 12.00 0.01 20170923104030
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B5 222.50 0.10 3.50 12.00 0.01 20170923104030
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B5 222.50 0.10 3.50 12.00 0.03 20170923104030
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B5 222.50 0.10 3.50 12.00 0.01 20170923104030
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B5 222.25 0.10 3.50 12.00 0.01 20170923104031
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B5 222.25 0.10 3.50 12.00 0.01 20170923104031
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B5 222.25 0.10 3.50 12.00 0.01 20170923104031
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B5 222.25 0.10 3.50 12.00 0.01 20170923104031
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B5 222.00 0.10 3.50 12.00 0.01 20170923104031
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B5 222.25 0.10 3.50 12.00 0.01 20170923104031
B0 0002 00 00 00 00 80 FF FF 00 FF F837 F83A F83C 20B5 222.25 0.10 3.50 12.00 0.01 20170923104032
