02 30 01 40 42 44 46 48 10 11 12 20 21 22 Time
BE 0000 0000 030F 0C4E 0840 09C0 0CA0 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091947
BE 0000 0000 030F 0CE4 0840 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091947
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091947
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091947
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091947
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091947
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091947
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091947
BE 0000 0000 030F 0CE4 0840 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091948
BE 0000 0000 030F 0C4E 0840 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091948
BE 0000 0000 030F 0CE4 0840 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091948
BE 0000 0000 030F 0C4E 0840 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091948
BE 0000 0000 030F 0C4E 0840 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091948
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091948
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091948
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091948
BE 0000 0000 030F 0C4E 0840 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091949
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091949
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091949
BE 0000 0000 030F 0C4E 0840 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091949
BE 0000 0000 030F 0CE4 0840 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091949
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091949
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091949
BE 0000 0000 030F 0CE4 0840 09C0 0CA0 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091949
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091950
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091950
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091950
BE 0000 0000 030F 0CE4 0840 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091950
BE 0000 0000 030F 0CE4 0840 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091950
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091950
BE 0000 0000 030F 0CE4 0840 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091950
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091950
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091950
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091951
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091951
BE 0000 0000 030F 0C4E 0860 09C0 0CA0 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091951
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0BE0 225.00 0.125 11.000 12.246 0.500 6.000 20171026091951
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091951
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091951
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091951
BE 0000 0000 030F 0CE4 0840 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091951
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091952
BE 0000 0000 030F 0CE4 0860 09C0 0CA0 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091952
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091952
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091952
BE 0000 0000 030F 0CE4 0840 09C0 0CA0 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091952
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091952
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091952
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091952
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091952
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091953
BE 0000 0000 030F 0C4E 0860 09C0 0CA0 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091953
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091953
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091953
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091953
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091953
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091953
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091953
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091954
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091954
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091954
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091954
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091954
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091954
BE 0000 0000 030F 0C4E 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091954
BE 0000 0000 030F 0CE4 0860 09C0 0CA0 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091954
BE 0000 0000 030F 0C4E 0840 09C0 0CA0 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091955
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091955
BE 0000 0000 030F 0CE4 0860 09C0 0C80 0C00 225.00 0.125 11.000 12.246 0.500 6.000 20171026091955
