Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 Time
B0 0002 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20BF 225.75 20170922170048
B0 0002 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20BF 225.25 20170922170048
B0 0002 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20BF 224.75 20170922170048
B0 0002 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20BF 225.25 20170922170048
B0 0002 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20BF 225.50 20170922170048
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20BF 225.25 20170922170048
B0 0002 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20BF 225.50 20170922170049
B0 0002 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20BF 225.50 20170922170049
B0 0002 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20BF 225.25 20170922170049
B0 0002 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20BF 225.00 20170922170049
B0 0002 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20BF 225.50 20170922170049
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20BF 225.00 20170922170049
B0 0002 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20BF 225.25 20170922170049
B0 0002 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20BF 225.50 20170922170050
B0 0002 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20BF 225.25 20170922170050
B0 0002 00 00 00 00 80 FF FF 00 FF F83A F83B F83F 20BF 225.25 20170922170050
B0 0002 00 00 00 00 80 FF FF 00 FF F83A F83C F83F 20BF 225.00 20170922170050
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20BF 225.00 20170922170050
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20BF 225.25 20170922170050
B0 0002 00 
